,COUNTY,STATE,LENDERS,POPULATION,PERCENT_WHITE,PERCENT_BLACK,PERCENT_HISPANIC,MEDIAN_INCOME,PERCENT_HIGH_SCHOOL_OR_ABOVE,LENDERS_PER_100000_PEOPLE
1,Baldwin County,Alabama,16,239294,82.9,8.9,4.8,63866,66.3,6.69
2,Calhoun County,Alabama,12,115972,70.8,19.4,4.2,46524,58.1,10.35
3,Cullman County,Alabama,4,89496,91.5,1.2,4.7,55517,60.9,4.47
4,DeKalb County,Alabama,6,71813,82,1.6,15.8,41800,53.1,8.36
5,Elmore County,Alabama,3,89304,74,21.3,3.1,59032,59.9,3.36
6,Etowah County,Alabama,7,103162,77,14.3,4.6,45298,60,6.79
7,Houston County,Alabama,10,107458,65.1,27.4,3.6,46931,61.7,9.31
8,Jefferson County,Alabama,48,667820,48.9,43,4.3,55006,61.7,7.19
9,Lauderdale County,Alabama,5,94043,84.1,7.1,3.1,50218,60.6,5.32
10,Lee County,Alabama,8,177218,67.8,21.7,3.9,52424,57.5,4.51
11,Limestone County,Alabama,5,107517,75.9,9.3,6.5,66796,58,4.65
12,Madison County,Alabama,21,395211,64.8,23.4,5.5,78525,65,5.31
13,Marshall County,Alabama,10,98228,82.1,3,15.6,50191,54.6,10.18
14,Mobile County,Alabama,37,413073,55.9,36.1,3.1,49721,60.2,8.96
15,Montgomery County,Alabama,19,227434,31.9,59.4,3.9,50385,59.2,8.35
16,Morgan County,Alabama,8,123668,74.3,12.7,9,55286,58.9,6.47
17,St. Clair County,Alabama,7,92748,NA,N,0.4,60433,60.5,7.55
18,Shelby County,Alabama,7,226902,76.6,11.1,6,84260,65.1,3.09
19,Talladega County,Alabama,5,81524,62.1,30.3,2.6,45063,60.5,6.13
20,Tuscaloosa County,Alabama,12,227007,60.4,32.3,4.2,56559,57.7,5.29
21,Anchorage Municipality,Alaska,4,288121,57,5.1,9.7,86654,63,1.39
22,Fairbanks North Star Borough,Alaska,0,95593,69.3,4.1,8.4,72149,61.8,0
23,Matanuska-Susitna Borough,Alaska,0,110686,76.5,1,5.6,78856,61.6,0
24,Apache County,Arizona,0,65623,19.1,2,7.1,40628,55.9,0
25,Cochise County,Arizona,4,126050,62.1,3.2,35.9,56600,62.1,3.17
26,Coconino County,Arizona,5,145052,54.2,1.4,14.9,64533,55.1,3.45
27,Maricopa County,Arizona,190,4496588,58,5.6,32,76247,60.5,4.23
28,Mohave County,Arizona,10,217692,79.6,1.3,17.7,46616,68.5,4.59
29,Navajo County,Arizona,3,108147,45.1,0.8,12.1,49449,58.2,2.77
30,Pima County,Arizona,29,1052030,58.1,3.6,38.5,60667,61.8,2.76
31,Pinal County,Arizona,10,449557,62.7,4.9,31.4,70993,62.5,2.22
32,Yavapai County,Arizona,9,242253,80,0.5,15.3,57230,70.6,3.72
33,Yuma County,Arizona,11,206990,33.9,1.5,65.5,57304,49.9,5.31
34,Benton County,Arkansas,8,293692,60.7,1.9,17.6,78691,59.6,2.72
35,Craighead County,Arkansas,0,112218,73.6,15.6,5.5,50186,57,0
36,Faulkner County,Arkansas,0,125106,79.8,11.5,4.5,55635,59.7,0
37,Garland County,Arkansas,0,100330,84.6,7.7,6.4,47694,67.1,0
38,Jefferson County,Arkansas,0,65861,37.9,55.9,2.5,48499,61.1,0
39,Lonoke County,Arkansas,0,74722,85.8,5.5,5,63641,61.1,0
40,Pulaski County,Arkansas,7,397821,51.4,37.5,6.5,52479,62.4,1.76
41,Saline County,Arkansas,0,125233,83.5,9.4,5.7,67345,65.4,0
42,Sebastian County,Arkansas,0,128400,69.4,5.6,15.4,47874,57.5,0
43,Washington County,Arkansas,0,250057,64.5,3.1,17.5,65125,54.9,0
44,White County,Arkansas,0,77207,85.1,2.8,4.8,51402,56.2,0
45,Alameda County,California,54,1648556,30.8,9.8,22.4,109729,64,3.28
46,Butte County,California,12,208309,72.1,2,18.4,64738,59.7,5.76
47,Contra Costa County,California,36,1161413,42.9,8.7,26.8,111080,62.7,3.1
48,El Dorado County,California,5,193221,76.3,0.8,13.8,87491,70.6,2.59
49,Fresno County,California,60,1013581,33.2,4.3,54.7,63656,49.2,5.92
50,Humboldt County,California,5,136310,70.1,1.2,12.9,54752,64.6,3.67
51,Imperial County,California,12,179851,16.8,2.8,85.8,51809,45.5,6.67
52,Kern County,California,35,917673,45.2,5.1,56.1,58217,47.2,3.81
53,Kings County,California,7,153443,36.2,7,56.6,62155,47.6,4.56
54,Lake County,California,4,68766,69.4,2.1,23.9,61221,61.7,5.82
55,Los Angeles County,California,559,9829544,29.6,7.6,49.1,77456,56.3,5.69
56,Madera County,California,8,159410,38.1,2.5,60.2,63454,45.7,5.02
57,Marin County,California,6,260206,69.7,2.2,16.8,118209,68.9,2.31
58,Mendocino County,California,3,91305,64.2,1.3,27.2,59444,60.4,3.29
59,Merced County,California,13,286461,30.2,3,62.5,53992,42.7,4.54
60,Monterey County,California,16,437325,32,2.4,60.4,82163,47.7,3.66
61,Napa County,California,0,136207,56.1,1.9,35.6,97213,60.2,0
62,Nevada County,California,3,103487,83,0.3,10.1,79519,73.6,2.9
63,Orange County,California,150,3167809,43,1.8,34.1,100559,61,4.74
64,Placer County,California,8,412300,70.5,1.4,15.2,103659,66.5,1.94
65,Riverside County,California,91,2458395,36.1,6.4,51.6,79024,55,3.7
66,Sacramento County,California,77,1588921,44.7,9.9,24.4,80063,60.3,4.85
67,San Bernardino County,California,100,2194710,33,7.9,55.8,74846,52.7,4.56
68,San Diego County,California,120,3286069,47.9,4.7,34.8,91003,61,3.65
69,San Francisco County,California,32,815201,39,5.3,15.7,121826,70.9,3.93
70,San Joaquin County,California,34,789410,31.3,6.7,43,80681,50.7,4.31
71,San Luis Obispo County,California,10,283159,70,1.2,23.8,80615,62.6,3.53
72,San Mateo County,California,19,737888,38.9,2.4,24,131796,66.2,2.57
73,Santa Barbara County,California,11,446475,47.5,1.9,47.2,84846,51.8,2.46
74,Santa Clara County,California,52,1885508,30.4,2.4,25,141562,63.2,2.76
75,Santa Cruz County,California,14,267792,57.8,0.9,34.4,93933,59.2,5.23
76,Shasta County,California,11,182139,78.2,1.2,11.4,61125,64.9,6.04
77,Solano County,California,26,451716,38.7,12.6,28.6,87770,62.2,5.76
78,Sonoma County,California,15,485887,63.8,1.6,28.3,94295,65,3.09
79,Stanislaus County,California,29,552999,41.7,2.8,49.5,73982,49.8,5.24
80,Sutter County,California,4,99063,42.7,1.5,32.9,64251,52,4.04
81,Tehama County,California,3,65498,70.6,1.5,27.3,48810,58.5,4.58
82,Tulare County,California,30,477054,37.4,1.6,66.7,58209,43.2,6.29
83,Ventura County,California,38,839784,52.6,1.7,44.1,96454,58.4,4.52
84,Yolo County,California,7,216986,50.2,2.8,32.6,78146,51.7,3.23
85,Yuba County,California,0,83421,51.1,4.1,30.5,63303,51.1,0
86,Adams County,Colorado,29,522140,55.4,3.5,41.8,81258,55.2,5.55
87,Arapahoe County,Colorado,27,654900,60.1,10.8,20.6,84386,63.4,4.12
88,Boulder County,Colorado,5,329543,78.1,0.9,14.1,90168,64.5,1.52
89,Broomfield County,Colorado,0,75325,76.7,1.1,13.5,107638,67.7,0
90,Denver County,Colorado,34,711463,59,8.7,29,81630,66.6,4.78
91,Douglas County,Colorado,4,368990,80.3,1.5,9.7,129299,66.8,1.08
92,El Paso County,Colorado,22,737867,71,5.5,18.4,79427,62.3,2.98
93,Jefferson County,Colorado,16,579581,79.2,1.2,15.9,94549,70.2,2.76
94,Larimer County,Colorado,8,362533,82.9,0.9,12.4,78109,64.8,2.21
95,Mesa County,Colorado,3,157335,82,0.6,15.3,64055,64.8,1.91
96,Pueblo County,Colorado,6,169622,71.7,1.5,43.7,56689,62,3.54
97,Weld County,Colorado,6,340036,71.4,1.9,30.6,85290,57.7,1.76
98,Fairfield County,Connecticut,32,959768,59.4,11.6,21.3,100810,62.4,3.33
99,Hartford County,Connecticut,18,896854,60.5,13.7,19.4,80069,63.7,2.01
100,Litchfield County,Connecticut,0,185000,85.9,1.6,8.1,84978,70.4,0
101,Middlesex County,Connecticut,0,164759,81.5,4.1,7.1,94887,71.6,0
102,New Haven County,Connecticut,14,863700,61.5,13.4,20.2,75295,63.6,1.62
103,New London County,Connecticut,3,268805,74.6,5.3,12,78828,66.1,1.12
104,Tolland County,Connecticut,0,150293,81.3,3.5,6.6,82778,60,0
105,Windham County,Connecticut,0,116418,81.2,1.1,12.7,72068,62.8,0
106,Kent County,Delaware,14,184149,58.9,25.5,7.8,64308,60.8,7.6
107,New Castle County,Delaware,40,571708,55.2,23.6,11,73854,64.2,7
108,Sussex County,Delaware,16,247527,75.1,10.7,9.6,70556,69,6.46
109,District of Columbia,District of Columbia,18,670050,37.9,43.2,11.5,90088,66.3,2.69
110,Alachua County,Florida,11,279238,62,19.4,11,56445,58,3.94
111,Bay County,Florida,9,179168,76.4,10,7.4,60557,64.8,5.02
112,Brevard County,Florida,19,616628,72.9,9.7,11.6,65333,70.1,3.08
113,Broward County,Florida,121,1930983,39.6,28.4,32,65747,64.7,6.27
114,Charlotte County,Florida,7,194843,83.6,5.4,8.2,59285,76.8,3.59
115,Citrus County,Florida,5,158083,89.2,2,6.7,47197,72.6,3.16
116,Clay County,Florida,12,222361,69.4,8.9,11.1,76679,63.6,5.4
117,Collier County,Florida,14,385980,64.2,6.5,29,74215,69.4,3.63
118,Columbia County,Florida,0,70385,69.6,12.8,6.9,54077,63.7,0
119,Duval County,Florida,59,999935,51.5,28.8,11.3,59980,62.8,5.9
120,Escambia County,Florida,15,322390,64,20.9,6.4,54228,62.1,4.65
121,Flagler County,Florida,3,120932,75.5,9.5,11.4,62618,72.9,2.48
122,Hernando County,Florida,8,200638,74.7,5,16.2,56868,68,3.99
123,Highlands County,Florida,4,103296,69.6,7.7,22.1,48564,64.7,3.87
124,Hillsborough County,Florida,97,1478194,50.6,16.1,30.3,65905,62.2,6.56
125,Indian River County,Florida,7,163662,74.4,8.2,13.3,58972,71.6,4.28
126,Lake County,Florida,11,395804,68.5,10.4,17.9,64795,67.8,2.78
127,Lee County,Florida,28,787976,68.1,7.7,23.8,66256,68.5,3.55
128,Leon County,Florida,16,292817,55.7,29.9,7,58118,56.5,5.46
129,Manatee County,Florida,15,412703,71.3,8.3,17.1,68172,70.1,3.63
130,Marion County,Florida,15,385915,71.1,12,15.5,55161,66.8,3.89
131,Martin County,Florida,4,159942,77.9,5.3,14.6,64625,73.1,2.5
132,Miami-Dade County,Florida,207,2662777,24.7,15,69.1,59044,59.8,7.77
133,Monroe County,Florida,0,82170,69,7.2,25.7,68563,72.7,0
134,Nassau County,Florida,5,94189,85.2,3.6,5.2,75981,71,5.31
135,Okaloosa County,Florida,7,213255,71.9,8.9,10.2,69823,63.9,3.28
136,Orange County,Florida,81,1422746,41.7,20,33.1,64833,62.2,5.69
137,Osceola County,Florida,22,403282,35.1,10.8,56.3,60585,60.5,5.46
138,Palm Beach County,Florida,53,1497987,53.9,18.1,23.9,70002,65.9,3.54
139,Pasco County,Florida,21,584067,73.1,6.1,18.1,59470,65.6,3.6
140,Pinellas County,Florida,52,956615,74,10,10.6,61947,72.6,5.44
141,Polk County,Florida,31,753520,55.6,14.7,27.4,56379,61.3,4.11
142,Putnam County,Florida,4,74167,69.9,15.7,10.7,33370,54.2,5.39
143,St. Johns County,Florida,9,292466,81.2,4.6,8.3,91602,67.3,3.08
144,St. Lucie County,Florida,11,343579,60,20.6,21.1,62797,64.7,3.2
145,Santa Rosa County,Florida,7,193998,81,5.5,6.4,82059,66.3,3.61
146,Sarasota County,Florida,12,447057,81.9,4,10.1,71761,76.2,2.68
147,Seminole County,Florida,22,470093,60.1,11,23.3,70236,66.3,4.68
148,Sumter County,Florida,0,135638,85.2,4.8,6.2,64608,83.9,0
149,Volusia County,Florida,32,564412,70.7,10.8,16.1,58380,67.7,5.67
150,Walton County,Florida,0,80069,84.8,4.1,6.8,61787,71.1,0
151,Barrow County,Georgia,0,86658,67.5,13.7,14.1,65273,59.1,0
152,Bartow County,Georgia,0,110843,77.4,11.4,9.8,71523,60.5,0
153,Bibb County,Georgia,3,156762,36,55.2,3.9,48176,56.8,1.91
154,Bulloch County,Georgia,0,82442,62.4,27.6,4.5,57656,49,0
155,Carroll County,Georgia,3,121968,68.6,17.1,7.5,58473,56,2.46
156,Catoosa County,Georgia,3,68397,88.4,1.5,3.6,65576,63.6,4.39
157,Chatham County,Georgia,0,296329,47.5,40.4,6.8,61843,63.1,0
158,Cherokee County,Georgia,3,274615,77.7,6,11.3,96267,62.1,1.09
159,Clarke County,Georgia,3,128711,55.6,24.6,11.2,50447,51.2,2.33
160,Clayton County,Georgia,5,297100,9.8,70.1,13.5,51233,54.8,1.68
161,Cobb County,Georgia,21,766802,49.6,26.2,13.7,88029,64.1,2.74
162,Columbia County,Georgia,0,159639,65.4,16.6,7.6,84220,61,0
163,Coweta County,Georgia,0,149956,71,15.1,7.7,84788,63.1,0
164,DeKalb County,Georgia,30,757718,29.9,51.9,8.6,70985,63.3,3.96
165,Dougherty County,Georgia,0,84844,23.6,69.7,3.2,42067,52.4,0
166,Douglas County,Georgia,0,145814,36.7,51.3,11.1,65046,61,0
167,Fayette County,Georgia,0,120574,60.2,23.7,7.9,90806,65,0
168,Floyd County,Georgia,0,98771,69.3,13.3,12.1,60825,54.4,0
169,Forsyth County,Georgia,0,260206,65.9,4.2,9.8,118814,62,0
170,Fulton County,Georgia,39,1065334,39.8,41.4,7.3,83192,64.3,3.66
171,Glynn County,Georgia,0,84739,62.4,23.6,6.9,61984,63.7,0
172,Gwinnett County,Georgia,46,964546,34.8,28.7,22.2,74622,56.4,4.77
173,Hall County,Georgia,9,207369,63,6.5,29.5,66719,54.8,4.34
174,Henry County,Georgia,3,245235,36.6,48.8,7.9,74614,60.5,1.22
175,Houston County,Georgia,0,166829,55.5,31.7,6.9,72848,61,0
176,Jackson County,Georgia,0,80286,79.6,7.8,9.6,72116,56,0
177,Lowndes County,Georgia,0,119276,53,37.8,6.3,42242,53.2,0
178,Muscogee County,Georgia,0,205617,39.8,45.5,8.2,52734,58.4,0
179,Newton County,Georgia,0,115355,41.7,47.7,1.6,75589,59.5,0
180,Paulding County,Georgia,0,173780,65.7,21.5,8,93815,60.3,0
181,Richmond County,Georgia,0,205673,33.6,54.1,5.3,48048,58.4,0
182,Rockdale County,Georgia,0,94082,28.9,56.4,10.7,66267,61.5,0
183,Spalding County,Georgia,3,67909,56.7,34.4,5.5,54585,56.4,4.42
184,Troup County,Georgia,0,69720,55.5,35.9,4,49187,62.4,0
185,Walker County,Georgia,0,68510,NA,N,2.8,43672,63,0
186,Walton County,Georgia,0,99853,71.4,15.8,5.8,73151,58.9,0
187,Whitfield County,Georgia,4,102848,72.7,4.1,37.3,55519,48.6,3.89
188,Hawaii County,Hawaii,5,202906,30.2,1.1,13.8,69473,67.6,2.46
189,Honolulu County,Hawaii,17,1000890,18.5,2.5,10.4,90704,65.1,1.7
190,Kauai County,Hawaii,3,73454,29.6,0.3,11.8,80582,66.2,4.08
191,Maui County,Hawaii,3,164268,31.2,0.7,12.1,76273,68.1,1.83
192,Ada County,Idaho,14,511931,83.4,1.5,9.1,79279,65.4,2.73
193,Bannock County,Idaho,4,88263,85,1.2,9.6,60736,60.5,4.53
194,Bonneville County,Idaho,6,127930,83.9,0.3,14,68614,57.2,4.69
195,Canyon County,Idaho,8,243115,71.2,0.8,25.7,64314,55.6,3.29
196,Kootenai County,Idaho,11,179789,88.1,0.2,5.4,67593,64.2,6.12
197,Twin Falls County,Idaho,4,92243,77.4,0.4,17.8,52880,56.5,4.34
198,Champaign County,Illinois,6,205943,65.4,13.1,6.6,56847,55.1,2.91
199,Cook County,Illinois,371,5173146,43.5,22.7,26,72092,61.8,7.17
200,DeKalb County,Illinois,0,100414,75.6,6.8,12.6,65615,58.5,0
201,DuPage County,Illinois,35,924885,65.9,4.9,15,99577,64.8,3.78
202,Kane County,Illinois,31,515588,57.5,4.3,32.7,91336,58.2,6.01
203,Kankakee County,Illinois,8,106601,75,14,11.6,63364,62.2,7.5
204,Kendall County,Illinois,3,134867,65.8,6.7,21.7,91560,57.2,2.22
205,Lake County,Illinois,31,711239,61.8,6.3,23.1,95796,60.3,4.36
206,LaSalle County,Illinois,3,108965,85.8,1.7,10.6,64673,65.3,2.75
207,McHenry County,Illinois,8,311122,80.8,1.4,14.7,91887,65,2.57
208,McLean County,Illinois,3,170889,79.7,8.2,5.4,69612,58.3,1.76
209,Macon County,Illinois,4,102432,74.7,15.4,2.6,46807,63.6,3.91
210,Madison County,Illinois,5,264490,83.9,7.3,3.7,65663,65.3,1.89
211,Peoria County,Illinois,5,179432,68.8,15.3,5.4,55949,61.9,2.79
212,Rock Island County,Illinois,0,142909,71.7,9.4,13.7,57895,61.1,0
213,St. Clair County,Illinois,10,254796,61,26.4,4.6,67530,65.1,3.92
214,Sangamon County,Illinois,7,194734,79.2,11.9,2.6,68466,65.7,3.59
215,Tazewell County,Illinois,3,130413,93,1.4,2.6,63621,65.2,2.3
216,Vermilion County,Illinois,0,73095,78.1,14.7,5.6,49091,63.7,0
217,Will County,Illinois,14,697252,63,11.7,18.9,93752,60.9,2.01
218,Williamson County,Illinois,0,66879,88.8,3.4,2.9,54859,65.7,0
219,Winnebago County,Illinois,8,283119,66.6,13.2,14.4,56132,61,2.83
220,Allen County,Indiana,15,388608,71.9,9.7,8.1,62542,58.7,3.86
221,Bartholomew County,Indiana,0,82475,81.2,2.1,8,73564,65,0
222,Boone County,Indiana,0,73052,87.8,3,3.6,98867,65.1,0
223,Clark County,Indiana,6,122738,82,7.8,6,62231,63.9,4.89
224,Delaware County,Indiana,6,111871,86.8,4.2,2.8,50497,55.1,5.36
225,Elkhart County,Indiana,9,206921,74.8,5.1,17.6,60143,52.7,4.35
226,Floyd County,Indiana,0,80454,86.4,4.1,3.9,66596,64.5,0
227,Grant County,Indiana,3,66263,85.4,3.6,4.9,49401,58.9,4.53
228,Hamilton County,Indiana,4,356650,81.4,4.3,4.6,102452,64.9,1.12
229,Hancock County,Indiana,0,81789,90.1,2.3,3.1,79182,66.5,0
230,Hendricks County,Indiana,6,179355,80.6,7.8,4.7,89228,64.3,3.35
231,Howard County,Indiana,3,83687,83.5,5.3,3.9,55088,64.3,3.58
232,Johnson County,Indiana,3,164298,86.8,2.9,4,78697,63.1,1.83
233,Kosciusko County,Indiana,0,80106,88,1.2,8.6,65540,59.5,0
234,Lake County,Indiana,23,498558,54.4,21.8,20.4,61443,61.6,4.61
235,LaPorte County,Indiana,6,112390,77.7,9.7,7.3,63714,63.6,5.34
236,Madison County,Indiana,5,130782,85.1,5.6,4.8,53785,64.3,3.82
237,Marion County,Indiana,58,971102,53.9,27.5,11.3,58560,58.1,5.97
238,Monroe County,Indiana,4,139875,83.6,3.4,3.8,51945,54.1,2.86
239,Morgan County,Indiana,0,72206,94.3,0.2,1.9,67848,64.5,0
240,Porter County,Indiana,7,174243,84.3,4,11,80547,66.7,4.02
241,St. Joseph County,Indiana,6,272212,71.6,12.2,9.8,59189,60.3,2.2
242,Tippecanoe County,Indiana,6,187076,75,5.6,9.2,52617,52.2,3.21
243,Vanderburgh County,Indiana,5,179987,81.4,8.4,3.1,53171,63,2.78
244,Vigo County,Indiana,6,105994,84.4,7,3,46802,56.5,5.66
245,Wayne County,Indiana,3,66456,87,2.5,3.4,50138,61.7,4.51
246,Black Hawk County,Iowa,11,130368,79.4,8.6,4.9,60264,59.8,8.44
247,Dallas County,Iowa,0,103796,82.7,1.9,6.5,90750,62.8,0
248,Dubuque County,Iowa,5,98718,89.7,2.4,2.9,75590,63.6,5.06
249,Johnson County,Iowa,5,154748,76.7,6.9,6,67134,58.1,3.23
250,Linn County,Iowa,12,228939,83.8,6.6,3.7,69420,64.5,5.24
251,Polk County,Iowa,32,496844,76.9,7.9,9.1,73292,61.7,6.44
252,Pottawattamie County,Iowa,5,93304,86.8,1.8,8.7,66542,61.7,5.36
253,Scott County,Iowa,7,174170,79.5,5.8,7.4,65566,64.4,4.02
254,Story County,Iowa,3,99472,83.5,2.6,4,63774,50.6,3.02
255,Woodbury County,Iowa,6,105607,70.6,4.8,18.6,59376,55.2,5.68
256,Butler County,Kansas,0,67889,87.3,1.8,5.5,71274,62.6,0
257,Douglas County,Kansas,7,119363,79,4,6.7,56576,58.9,5.86
258,Johnson County,Kansas,24,613219,78.4,4.5,8.2,92945,65.8,3.91
259,Leavenworth County,Kansas,0,82184,78.6,6.7,7.7,83028,65.1,0
260,Riley County,Kansas,4,72208,78.1,6.3,8.7,57335,51.6,5.54
261,Sedgwick County,Kansas,34,523828,68.8,7.7,15.7,60364,58.4,6.49
262,Shawnee County,Kansas,11,178264,75.1,7.7,13.4,55499,64.6,6.17
263,Wyandotte County,Kansas,12,167046,43.2,19.1,30.8,55605,51.7,7.18
264,Boone County,Kentucky,7,137412,84.8,1.9,4.7,83877,60,5.09
265,Bullitt County,Kentucky,3,82918,NA,N,2.7,68269,63.5,3.62
266,Campbell County,Kentucky,7,93050,90.9,2.1,2.4,71701,65.3,7.52
267,Christian County,Kentucky,5,72357,66.8,22,8.5,47754,48.1,6.91
268,Daviess County,Kentucky,10,103063,86.6,3.5,3.5,59307,62.3,9.7
269,Fayette County,Kentucky,24,321793,70.2,12.6,7.5,60942,59.9,7.46
270,Hardin County,Kentucky,11,111607,76.9,11.1,6.1,61089,61.5,9.86
271,Jefferson County,Kentucky,47,777874,65.2,20.4,6.6,60561,63.6,6.04
272,Kenton County,Kentucky,10,169495,86.6,3.2,3.7,70171,63.3,5.9
273,McCracken County,Kentucky,9,67454,82.4,10.8,2.9,64082,64.7,13.34
274,Madison County,Kentucky,7,94666,88.4,3.5,2.8,52425,55.4,7.39
275,Oldham County,Kentucky,0,68685,86.7,3.8,4.1,110041,63.2,0
276,Warren County,Kentucky,9,137212,77.6,7.7,5.7,59752,54.3,6.56
277,Ascension Parish,Louisiana,8,128369,66,23.4,6.4,72662,57.6,6.23
278,Bossier Parish,Louisiana,9,129144,64.7,25,7,59041,60,6.97
279,Caddo Parish,Louisiana,27,233092,43.9,49.6,3.1,44022,58.7,11.58
280,Calcasieu Parish,Louisiana,17,205282,67,24.2,4.2,58020,59.8,8.28
281,East Baton Rouge Parish,Louisiana,37,453301,43.3,45.9,4.6,51432,58.3,8.16
282,Iberia Parish,Louisiana,11,68975,58.1,30.5,4.4,49447,55.6,15.95
